SOURCE,RID,D_ROLE,D_EXP,AC1,AC2,TA_1,TA_2,TA_3,TA_4,TA_5,RA_1,RA_2,RA_3,RA_4,RA_5,AT_1,AT_2,AT_3,AT_4,AT_5,SAP_1,SAP_2,SAP_3,SAP_4,SAP_5,FR_1,FR_2,FR_3,FR_4,FR_5,IR_1,IR_2,IR_3,IR_4,IR_5,RPG_1,RPG_2,RPG_3,RPG_4,RPG_5,PMI_1,PMI_2,PMI_3,PMI_4,PMI_5,AJQ_1,AJQ_2,AJQ_3,AJQ_4,AJQ_5,APR_1,APR_2,APR_3,APR_4,APR_5,RAB_1,RAB_2,RAB_3,RAB_4,RAB_5
SIMULATED_PRACTICE_DATA,SIM_0001,Compliance testing,2 to 5 years,2,4,5,4,3,2,5,4,3,3,2,4,4,2,4,2,4,3,3,3,2,1,3,3,5,3,4,4,3,4,2,4,3,3,4,2,2,3,2,3,2,3,4,4,3,2,4,3,3,3,3,3,2,3,4,3,3
SIMULATED_PRACTICE_DATA,SIM_0002,Internal audit,16+ years,2,4,2,3,4,4,3,4,5,5,1,3,3,3,3,2,2,3,4,4,2,2,4,5,4,2,4,4,3,4,3,3,3,5,3,2,4,3,5,3,2,4,4,3,3,2,3,4,4,4,1,3,5,3,3,2,4
SIMULATED_PRACTICE_DATA,SIM_0003,Credit/loan review,Less than 2 years,2,4,5,5,3,2,5,2,4,4,2,4,5,4,4,1,4,4,4,4,1,4,5,5,4,1,4,3,2,3,3,5,3,3,4,2,4,4,5,3,2,4,5,5,5,1,5,4,3,3,4,4,5,4,4,2,5
SIMULATED_PRACTICE_DATA,SIM_0004,Compliance testing,6 to 10 years,2,4,3,5,2,3,5,3,4,2,2,3,4,3,5,2,4,4,4,5,1,3,5,5,5,1,5,3,4,3,2,2,4,4,4,3,3,4,3,5,1,5,5,3,4,2,4,3,4,3,3,4,4,3,3,3,3
SIMULATED_PRACTICE_DATA,SIM_0005,Compliance testing,11 to 15 years,2,4,4,5,5,2,3,1,3,3,4,4,5,3,2,2,3,3,4,3,3,4,3,4,3,2,4,4,3,3,3,3,3,4,5,2,3,4,5,3,2,4,3,4,4,1,5,2,2,3,4,3,3,3,3,4,3
SIMULATED_PRACTICE_DATA,SIM_0006,Quality assurance,16+ years,4,4,4,3,4,2,3,3,3,3,2,3,2,3,2,3,4,2,1,2,3,2,3,2,3,3,3,3,2,3,4,3,3,2,3,2,2,3,3,4,2,3,4,3,4,3,4,4,3,4,3,4,2,3,4,3,4
SIMULATED_PRACTICE_DATA,SIM_0007,Enterprise risk,2 to 5 years,2,4,2,3,2,4,2,3,3,3,2,4,4,5,5,1,5,4,3,3,3,3,2,2,1,3,2,4,3,4,2,5,3,4,3,2,4,3,4,4,2,5,3,3,4,3,4,3,3,4,3,4,4,5,4,1,5
SIMULATED_PRACTICE_DATA,SIM_0008,SOX controls,11 to 15 years,2,4,4,4,3,4,3,5,4,5,4,4,5,4,4,3,4,5,5,4,2,4,3,2,4,2,2,3,3,4,1,4,2,3,3,3,4,3,3,4,3,4,3,4,4,2,4,5,4,5,1,5,4,5,5,3,5
SIMULATED_PRACTICE_DATA,SIM_0009,Credit/loan review,6 to 10 years,2,4,3,4,3,4,3,3,2,3,4,2,3,3,2,3,3,3,4,4,3,3,3,3,3,1,4,4,3,5,2,4,3,3,2,3,4,1,3,3,3,4,2,4,3,1,3,3,2,3,4,1,4,3,4,3,3
SIMULATED_PRACTICE_DATA,SIM_0010,Credit/loan review,2 to 5 years,2,4,4,3,5,3,3,3,3,3,3,3,5,4,5,2,4,3,4,4,3,4,4,4,4,2,4,4,3,3,2,5,2,4,4,2,3,5,2,4,1,4,3,2,2,3,3,4,5,5,1,4,4,3,3,4,5
SIMULATED_PRACTICE_DATA,SIM_0011,Internal audit,Less than 2 years,2,4,2,4,4,2,5,4,4,5,3,4,5,5,4,1,4,5,5,5,1,4,4,5,3,1,5,5,5,4,1,5,5,5,4,2,5,5,4,5,2,5,5,5,4,2,5,4,4,5,1,4,5,4,4,2,5
SIMULATED_PRACTICE_DATA,SIM_0012,Internal audit,6 to 10 years,2,4,3,3,4,2,4,5,3,4,2,4,5,3,4,3,4,5,4,5,1,4,3,3,3,2,3,4,2,2,3,2,4,5,5,2,3,4,3,3,2,4,3,4,4,3,3,5,4,5,2,4,4,3,4,3,5
SIMULATED_PRACTICE_DATA,SIM_0013,Compliance testing,Less than 2 years,2,4,1,3,3,4,2,3,5,2,4,3,3,3,3,1,2,4,2,3,3,3,4,4,3,2,4,2,2,2,3,4,4,3,2,4,4,2,1,1,5,2,2,4,2,3,1,4,3,4,3,4,4,3,4,3,2
SIMULATED_PRACTICE_DATA,SIM_0014,Internal audit,6 to 10 years,2,4,4,5,4,1,4,4,4,4,3,3,3,4,3,2,4,5,5,4,2,5,4,5,4,2,5,3,4,3,2,5,2,5,4,1,4,4,4,4,2,5,4,4,4,3,3,4,4,4,2,4,5,4,4,2,5
SIMULATED_PRACTICE_DATA,SIM_0015,Internal audit,6 to 10 years,2,4,2,4,4,4,3,2,3,2,3,3,2,2,3,3,3,3,3,3,2,3,4,4,2,2,2,2,4,2,3,2,3,2,2,3,2,2,3,2,5,4,3,2,2,3,3,4,3,3,2,3,4,3,3,3,4
SIMULATED_PRACTICE_DATA,SIM_0016,Quality assurance,6 to 10 years,2,4,5,4,4,2,4,4,2,2,4,3,3,4,3,2,4,4,4,4,2,4,4,3,4,2,5,5,3,3,2,4,3,3,3,3,4,4,4,4,2,4,4,3,3,1,5,3,4,4,2,3,4,5,4,2,4
SIMULATED_PRACTICE_DATA,SIM_0017,Internal audit,11 to 15 years,2,4,3,3,3,3,3,3,2,2,3,2,2,4,4,4,3,3,3,4,3,4,3,4,3,3,3,3,4,4,2,4,3,3,3,2,3,3,3,4,3,3,3,4,2,2,3,3,3,4,4,4,4,4,3,3,4
SIMULATED_PRACTICE_DATA,SIM_0018,External audit,6 to 10 years,2,4,5,4,4,1,5,3,3,3,3,3,3,4,3,4,3,4,2,4,2,4,4,3,4,3,4,3,3,3,2,4,3,4,3,2,4,2,4,3,4,2,3,3,3,4,2,4,4,5,3,4,4,4,3,2,3
SIMULATED_PRACTICE_DATA,SIM_0019,External audit,6 to 10 years,2,4,5,3,3,2,4,4,4,4,3,3,4,4,4,3,3,4,4,2,2,3,3,3,3,3,4,5,5,4,2,3,5,4,5,2,5,3,1,3,3,3,2,3,3,4,3,4,4,4,2,3,4,4,3,2,4
SIMULATED_PRACTICE_DATA,SIM_0020,External audit,11 to 15 years,2,4,4,3,4,3,3,2,3,3,5,3,4,3,2,4,3,1,3,2,4,2,3,3,3,3,3,2,2,2,4,4,3,2,3,2,3,3,3,2,5,2,4,5,4,3,3,3,1,3,4,1,2,3,2,4,2
SIMULATED_PRACTICE_DATA,SIM_0021,External audit,6 to 10 years,2,4,3,4,4,3,4,3,3,2,2,3,3,4,4,2,3,4,4,4,3,2,4,3,4,2,4,5,4,5,2,3,5,4,3,2,3,4,5,3,2,4,5,4,4,2,3,5,4,2,1,4,4,5,4,2,3
SIMULATED_PRACTICE_DATA,SIM_0022,Enterprise risk,2 to 5 years,2,4,3,2,3,3,3,5,4,3,2,3,4,3,5,2,4,3,3,4,4,4,3,3,4,3,3,4,4,4,2,4,3,4,3,4,4,3,3,4,3,4,2,4,3,3,2,2,1,2,5,2,3,3,4,3,3
SIMULATED_PRACTICE_DATA,SIM_0023,Quality assurance,16+ years,2,4,3,4,2,2,2,1,2,4,3,2,2,2,4,3,3,4,5,5,1,4,5,4,4,2,2,3,5,4,2,3,5,4,4,2,4,5,3,4,2,4,4,4,4,1,4,4,5,5,2,5,2,4,3,3,4
SIMULATED_PRACTICE_DATA,SIM_0024,Internal audit,Less than 2 years,2,4,4,5,4,2,4,5,5,4,2,4,4,5,4,2,4,5,5,4,2,5,5,5,5,1,5,4,5,3,3,5,3,3,4,4,4,4,4,3,3,4,4,4,4,2,4,3,5,4,2,5,4,5,3,3,3
SIMULATED_PRACTICE_DATA,SIM_0025,SOX controls,11 to 15 years,2,4,2,5,4,2,2,3,2,3,2,4,3,3,2,2,3,3,3,2,3,3,3,2,2,4,3,4,4,4,3,3,3,3,4,2,4,3,2,4,3,4,3,5,4,3,5,3,3,4,3,2,2,3,4,3,3
SIMULATED_PRACTICE_DATA,SIM_0026,External audit,2 to 5 years,2,4,4,3,3,2,4,4,3,4,2,4,5,5,3,2,4,4,4,4,2,5,5,5,5,1,5,4,4,4,2,4,4,4,4,2,3,4,3,3,1,3,3,4,3,2,5,3,5,4,1,4,3,4,3,2,4
SIMULATED_PRACTICE_DATA,SIM_0027,SOX controls,16+ years,2,4,4,3,2,2,5,2,4,5,2,2,3,3,3,3,5,3,2,3,5,3,3,2,3,4,4,2,3,2,2,4,3,3,4,2,3,2,2,2,3,3,2,2,2,4,1,2,1,3,4,3,3,3,2,3,2
SIMULATED_PRACTICE_DATA,SIM_0028,Credit/loan review,2 to 5 years,1,4,2,3,3,3,4,4,4,4,2,5,3,3,4,3,5,3,2,3,3,2,4,3,5,2,4,5,4,5,1,4,2,3,2,4,3,4,4,5,2,2,3,4,2,2,2,5,4,5,2,4,4,4,2,2,4
SIMULATED_PRACTICE_DATA,SIM_0029,Credit/loan review,Less than 2 years,2,4,5,4,3,2,3,2,3,2,3,3,5,5,5,2,4,3,4,4,2,5,5,5,5,2,5,3,2,2,3,4,4,3,3,3,4,2,4,2,4,4,4,5,4,2,4,3,4,2,3,5,4,3,3,3,3
SIMULATED_PRACTICE_DATA,SIM_0030,Quality assurance,11 to 15 years,2,1,3,2,4,3,3,4,4,2,3,5,4,4,4,2,3,4,3,4,2,4,3,3,3,2,2,3,4,3,2,3,3,3,3,2,3,3,3,2,3,3,4,3,5,3,5,3,5,3,3,3,4,5,3,2,3
SIMULATED_PRACTICE_DATA,SIM_0031,External audit,6 to 10 years,2,4,3,5,5,3,5,4,3,4,1,5,4,4,3,2,4,4,4,3,2,3,4,4,3,1,4,4,5,3,3,3,4,3,3,3,4,3,4,3,3,4,3,3,4,3,4,4,5,4,3,4,4,3,5,2,5
SIMULATED_PRACTICE_DATA,SIM_0032,External audit,6 to 10 years,2,4,4,4,5,2,4,4,4,4,3,5,3,3,4,3,2,3,4,4,1,2,3,3,3,1,3,3,2,4,4,2,4,4,3,3,4,3,2,3,3,2,3,3,3,3,3,3,4,4,3,3,4,4,4,2,5
SIMULATED_PRACTICE_DATA,SIM_0033,Credit/loan review,2 to 5 years,2,4,5,5,4,1,5,5,4,4,2,5,5,4,4,2,5,4,5,3,2,5,5,3,4,2,3,4,5,4,2,5,5,4,5,1,5,4,4,3,3,3,4,4,5,1,5,3,4,4,2,4,4,3,4,2,3
SIMULATED_PRACTICE_DATA,SIM_0034,Enterprise risk,2 to 5 years,2,4,5,3,4,3,2,3,4,3,2,4,4,4,3,2,4,4,4,3,2,3,4,3,3,2,3,4,5,2,2,4,5,3,4,1,5,4,5,4,2,3,3,3,3,3,4,3,2,1,5,1,5,4,5,3,2
SIMULATED_PRACTICE_DATA,SIM_0035,Internal audit,Less than 2 years,2,4,4,4,3,3,4,2,2,2,4,2,4,4,3,2,5,4,2,3,3,3,3,3,4,3,2,3,3,2,3,4,2,3,3,3,3,3,3,4,2,4,3,4,5,3,3,2,1,2,5,1,3,3,1,2,3
SIMULATED_PRACTICE_DATA,SIM_0036,Compliance testing,2 to 5 years,2,4,3,3,3,4,1,4,4,3,1,4,3,3,3,2,4,2,2,3,3,3,3,5,4,1,4,3,3,3,3,3,5,5,4,1,5,2,2,3,2,4,2,4,3,3,2,2,2,1,4,2,3,3,3,4,3
SIMULATED_PRACTICE_DATA,SIM_0037,Internal audit,16+ years,2,4,4,4,5,1,4,5,5,4,1,5,5,3,3,2,5,4,4,4,1,4,4,4,3,2,5,2,3,4,4,2,4,5,4,3,5,3,4,4,3,4,5,5,5,1,4,4,4,4,2,5,4,5,4,2,5
SIMULATED_PRACTICE_DATA,SIM_0038,SOX controls,2 to 5 years,2,2,3,4,2,3,3,4,4,5,2,3,4,3,4,3,3,3,5,4,1,5,4,5,4,1,5,5,4,4,2,5,4,5,5,1,4,4,5,4,3,3,4,4,5,1,4,5,5,5,1,5,5,4,3,2,3
SIMULATED_PRACTICE_DATA,SIM_0039,Quality assurance,16+ years,2,4,3,4,3,3,3,4,3,3,3,4,3,4,3,3,4,4,3,3,1,3,3,3,5,1,5,5,4,5,2,5,4,3,3,3,3,4,3,4,2,4,3,3,4,3,3,4,3,3,2,5,5,5,4,2,5
