,0,1,2,3,4,5,6,7,8,9,10
TA_1,-0.048,0.026,-0.12,0.693,0.122,0.027,0.028,0.007,-0.033,0.125,-0.038
TA_2,0.049,0.098,0.003,0.605,-0.045,-0.095,0.034,0.091,0.165,0.132,-0.094
TA_3,0.072,0.049,-0.023,0.617,-0.074,0.025,0.133,-0.004,0.017,-0.089,0.035
TA_4,-0.056,0.005,0.066,0.779,0.042,0.009,-0.062,-0.037,0.011,-0.049,0.058
TA_5,0.082,-0.091,0.057,0.627,-0.033,0.064,-0.057,0.223,-0.011,0.058,0.011
RA_1,0.094,-0.032,0.089,0.007,0.019,0.726,0.041,-0.014,-0.086,-0.131,0.093
RA_2,-0.02,-0.019,-0.032,-0.036,0.046,0.77,0.007,0.149,-0.047,0.129,-0.061
RA_3,-0.0,0.122,0.028,0.018,-0.086,0.576,-0.009,0.007,0.124,0.097,-0.04
RA_4,-0.1,0.047,0.003,-0.022,0.023,0.688,0.067,0.068,0.139,0.079,0.027
RA_5,0.024,0.137,0.007,0.12,-0.009,0.654,-0.072,-0.172,0.053,-0.069,0.014
AT_1,0.112,0.01,0.014,0.068,-0.003,0.069,0.062,0.058,0.055,0.685,-0.008
AT_2,0.099,0.07,0.075,0.037,0.031,-0.024,-0.104,-0.02,-0.087,0.649,0.108
AT_3,-0.04,0.107,-0.02,0.101,0.183,-0.098,0.004,-0.14,-0.113,0.397,0.093
AT_4,0.027,0.01,-0.006,0.011,-0.041,0.036,0.125,-0.027,0.087,0.692,0.042
AT_5,0.004,-0.094,0.151,0.033,-0.057,0.081,0.132,-0.028,0.058,0.668,-0.03
SAP_1,0.053,0.103,0.051,-0.11,0.751,-0.011,0.019,-0.002,0.018,0.068,0.005
SAP_2,0.059,0.044,0.071,0.107,0.732,-0.059,0.053,0.015,0.021,-0.097,0.035
SAP_3,0.022,0.067,0.008,-0.012,0.694,-0.013,-0.119,0.148,0.019,-0.077,0.012
SAP_4,0.156,-0.073,0.005,0.027,0.676,0.084,0.095,0.037,0.042,-0.036,-0.031
SAP_5,-0.199,-0.164,-0.002,0.082,0.698,0.078,0.099,-0.077,0.026,0.081,0.092
FR_1,0.014,0.033,0.025,0.095,0.07,0.059,0.024,0.701,0.06,-0.062,0.01
FR_2,-0.041,-0.09,0.011,0.012,0.007,0.073,0.032,0.77,-0.037,-0.071,0.067
FR_3,-0.06,0.071,0.076,0.022,-0.028,-0.057,-0.015,0.724,0.028,0.071,0.023
FR_4,0.037,0.019,0.044,-0.006,0.0,-0.016,0.071,0.713,0.029,-0.008,0.038
FR_5,0.235,0.041,-0.011,0.074,0.128,0.093,0.03,0.5,-0.116,0.066,-0.021
IR_1,0.058,0.047,0.734,-0.013,-0.004,0.001,0.062,0.058,0.013,0.026,0.047
IR_2,-0.0,0.023,0.768,0.024,0.05,0.071,-0.005,-0.042,-0.062,-0.041,-0.039
IR_3,0.033,-0.054,0.713,-0.061,0.008,0.048,0.025,-0.076,-0.03,0.001,0.072
IR_4,-0.031,-0.017,0.772,-0.015,-0.002,-0.035,-0.031,0.125,0.043,0.075,-0.007
IR_5,-0.092,0.036,0.591,0.092,0.049,-0.089,0.031,0.048,0.075,0.069,-0.102
RPG_1,-0.062,0.111,0.071,-0.022,-0.053,-0.028,0.615,0.078,0.077,-0.01,-0.052
RPG_2,0.077,-0.125,0.009,-0.03,0.004,0.087,0.711,0.018,0.032,0.08,0.161
RPG_3,0.019,0.147,-0.014,0.04,0.134,0.022,0.742,0.055,-0.029,0.071,-0.04
RPG_4,0.011,-0.043,0.156,0.041,-0.015,0.001,0.56,-0.079,0.042,-0.03,0.054
RPG_5,0.045,0.126,0.031,-0.001,0.048,-0.039,0.651,0.065,-0.019,0.051,-0.083
PMI_1,-0.081,0.676,-0.015,0.134,-0.055,-0.065,0.097,0.014,-0.104,0.148,0.126
PMI_2,0.069,0.23,0.124,0.076,0.081,0.026,-0.226,-0.017,0.494,0.134,-0.005
PMI_3,0.073,0.77,0.046,0.09,-0.02,0.108,0.013,-0.078,0.056,-0.154,-0.009
PMI_4,-0.007,0.765,0.043,0.0,-0.017,0.077,0.147,0.033,-0.023,-0.027,0.039
PMI_5,0.011,0.652,-0.034,-0.169,0.184,0.021,-0.102,0.119,0.09,0.157,-0.043
AJQ_1,0.118,-0.035,-0.062,0.06,0.012,0.013,-0.052,0.086,0.638,-0.035,0.216
AJQ_2,0.047,-0.079,0.01,0.019,-0.011,-0.029,0.144,0.095,0.694,-0.141,-0.105
AJQ_3,0.022,-0.053,0.001,0.015,0.085,0.059,0.057,-0.076,0.735,0.117,0.019
AJQ_4,-0.042,0.041,0.052,-0.017,0.088,0.098,-0.059,0.006,0.597,0.067,0.069
AJQ_5,0.004,0.183,0.009,0.041,-0.053,-0.024,0.019,0.003,0.577,0.067,0.175
APR_1,0.146,-0.023,0.062,-0.07,0.044,0.097,0.032,0.043,0.044,-0.016,0.582
APR_2,0.009,0.028,0.121,0.037,0.069,-0.044,0.014,0.003,-0.039,-0.055,0.735
APR_3,0.119,-0.107,0.065,0.097,0.072,-0.107,0.056,-0.034,0.068,-0.06,0.594
APR_4,-0.001,0.078,-0.053,0.013,-0.089,0.121,0.002,0.013,0.013,0.073,0.815
APR_5,-0.039,0.018,-0.08,-0.062,0.111,-0.088,-0.035,0.142,0.125,0.078,0.699
RAB_1,0.673,-0.035,-0.022,0.024,-0.004,0.036,-0.039,0.096,-0.002,0.197,-0.006
RAB_2,0.691,0.0,0.055,0.046,-0.029,0.027,-0.01,-0.019,0.114,0.07,-0.012
RAB_3,0.542,-0.007,0.13,-0.147,-0.019,0.004,0.131,0.052,0.025,0.022,0.157
RAB_4,0.657,-0.035,-0.067,-0.043,-0.001,-0.073,0.147,0.008,0.213,-0.111,-0.009
RAB_5,0.744,0.068,0.021,0.045,0.126,0.01,-0.017,-0.068,-0.116,0.033,0.081
