code,label,mean,sd,min,max,alpha
TA,Training and Awareness,3.5,0.6633249580710799,2.6,4.0,0.8522727272727273
RA,Rotation of Auditors,3.6,0.28284271247461906,3.4,4.0,-0.3125
AT,Use of Analytical Tools,3.5,0.47609522856952335,3.2,4.2,0.07352941176470604
SAP,Structured Auditing Processes,3.7,0.11547005383792501,3.6,3.8,-3.75
FR,Feedback and Reflection,3.6,0.4898979485566356,3.0,4.0,0.8333333333333335
IR,Independent Reviews,3.6,0.3265986323710903,3.2,4.0,0.390625
RPG,Regulatory and Professional Guidance,3.8000000000000003,0.5887840577551899,3.2,4.4,0.7451923076923077
PMI,Performance Metrics and Incentives,3.55,0.47258156262526085,3.2,4.2,0.6343283582089552
AJQ,Auditor Judgment Quality,4.2,0.2828427124746193,3.8,4.4,0.0
APR,Audit Process Rigor,3.9000000000000004,0.3829708431025354,3.4,4.2,0.5113636363636362
RAB,Reduction in Anchoring Bias,3.5,0.41633319989322654,3.0,4.0,0.28846153846153855
