ResponseId,Reason
R_1rTxXhsXFNXLYcc,"Survey preview (researcher test)"
R_5z8Kji9ZvoNQL4J,"Self-identified test response"
R_1jUQDl8TzZ0yZce,"Did not finish survey (Finished=False)"
R_7b7z4ilpZCl6hpv,"Did not finish survey (Finished=False)"
R_6D78HR3N5PCguAi,"Did not finish survey (Finished=False)"
R_71vaInAjL9CqJL6,"Did not finish survey (Finished=False)"
R_9CT31wg99rNuGO4,"Did not finish survey (Finished=False)"
R_53duy6xP5ug3UfD,"Did not finish survey (Finished=False)"
R_837styIt2o3iAcE,"Did not finish survey (Finished=False)"
R_PSrsvuR8geprhKN,"Did not finish survey (Finished=False)"
R_3EKM9i5fuBNMfEG,"Did not finish survey (Finished=False)"
R_68GJ2gtKbp7eiGb,"Failed screen: not US-based"
R_2XpqjoL5dSyhAqL,"Failed screen: not US-based"
R_4T1UzLbMr2PSwgN,"Failed screen: not US-based"
R_64cmU8i1FOebP4x,"Failed screen: no audit-related role in last 24mo"
R_562vtHZe5gA8l3Y,"Failed screen: no audit-related role in last 24mo"
R_6o6epBI1rJUJTkC,"Failed screen: no audit-related role in last 24mo"
R_7SdF53CX9nnr1s4,"Failed attention check AC1 (expected 'Disagree')"
R_9TBOHoo2zHIYs77,"Missing substantive Likert data despite Finished=True"
