StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,CONSENT,S1_COUNTRY,S2_LANGUAGE,S3_AUDIT_ROLE,S4_CONTINUING_ENG,S5_ATTESTATION,TA_1,TA_2,TA_3,TA_4,TA_5,RA_1,RA_2,RA_3,RA_4,RA_5,AT_1,AT_2,AT_3,AT_4,AT_5,SAP_1,SAP_2,SAP_3,SAP_4,SAP_5,AC1,FR_1,FR_2,FR_3,FR_4,FR_5,IR_1,IR_2,IR_3,IR_4,IR_5,RPG_1,RPG_2,RPG_3,RPG_4,RPG_5,PMI_1,PMI_2,PMI_3,PMI_4,PMI_5,AC2,AJQ_1,AJQ_2,AJQ_3,AJQ_4,AJQ_5,APR_1,APR_2,APR_3,APR_4,APR_5,RAB_1,RAB_2,RAB_3,RAB_4,RAB_5,OPEN_TEXT,C1_PRIORFILE,D1A_EXT_EXP,D1B_INT_EXP,D2_ROLE,D3_FIRM_TYPE,D3B_FIRM_SIZE,D4_INDUSTRY,D5_LONGTERM_EXPOSURE,D6_CREDENTIAL,D7_REGION
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Q_DuplicateRespondent,Do you consent to participate in this study?,Are you currently located in the United States?,Are you fluent in English?,"Are you currently, or have you been within the last 24 months, employed in an audit-related role (external audit, internal audit, or audit support)?",Have you personally worked on at least one continuing audit engagement (a multi-year engagement with the same client)?,"Confirm you are completing this survey on your own, you have not seen it before, and you will not share it.",Training and Awareness. Please indicate your agreement with each statement. - My firm provides specific training on cognitive biases (such as anchoring) that can affect audit judgments.,Training and Awareness. Please indicate your agreement with each statement. - I have been taught concrete techniques for avoiding over-reliance on prior-year figures.,"Training and Awareness. Please indicate your agreement with each statement. - Training in my firm includes practice exercises with feedback, not only lectures.",Training and Awareness. Please indicate your agreement with each statement. - I have received little or no training on how initial reference points can distort judgment.,Training and Awareness. Please indicate your agreement with each statement. - I can recognize when an initial reference point is influencing my professional judgment.,Rotation of Auditors. Please indicate your agreement with each statement. - Personnel on my long-term engagements are rotated on a regular schedule.,"Rotation of Auditors. Please indicate your agreement with each statement. - Rotation in my firm is frequent enough to bring a ""fresh look"" to recurring clients.","Rotation of Auditors. Please indicate your agreement with each statement. - When I join a continuing engagement, I form my own view before reading prior auditors' conclusions.",Rotation of Auditors. Please indicate your agreement with each statement. - The same individuals remain on my engagements for many years without change.,Rotation of Auditors. Please indicate your agreement with each statement. - Rotation policies or requirements in my firm meaningfully reduce over-familiarity with clients or auditees.,Use of Analytical Tools. Please indicate your agreement with each statement. - I routinely use data-analytics tools that flag anomalies in client data.,Use of Analytical Tools. Please indicate your agreement with each statement. - Visualization tools help me notice patterns that differ from prior-year expectations.,"Use of Analytical Tools. Please indicate your agreement with each statement. - The analytical tools I use draw on data beyond the client's own ledgers (i.e., multiple sources of evidence).",Use of Analytical Tools. Please indicate your agreement with each statement. - I rely mainly on prior-year workpapers rather than on current-period analytics.,Use of Analytical Tools. Please indicate your agreement with each statement. - The tools I use prompt me to investigate items that contradict my expectations.,Structured Auditing Processes. Please indicate your agreement with each statement. - My audit work follows standardized procedures and decision aids.,Structured Auditing Processes. Please indicate your agreement with each statement. - Procedures require me to evaluate current evidence before consulting the prior-year conclusion.,Structured Auditing Processes. Please indicate your agreement with each statement. - Documentation templates make my reasoning explicit and reviewable.,Structured Auditing Processes. Please indicate your agreement with each statement. - My approach to recurring tasks is mostly informal and ad hoc.,Structured Auditing Processes. Please indicate your agreement with each statement. - The structure of my firm's audit methodology reduces reliance on mental shortcuts.,"To confirm you are reading carefully, please select ""Disagree"" for this item.","Feedback and Reflection. Please indicate your agreement with each statement. - I receive feedback on the quality of my judgments, not only on meeting deadlines.",Feedback and Reflection. Please indicate your agreement with each statement. - Post-engagement debriefs prompt me to reflect on judgment errors.,Feedback and Reflection. Please indicate your agreement with each statement. - Feedback compares my conclusions against independent evidence.,Feedback and Reflection. Please indicate your agreement with each statement. - I rarely learn whether my professional judgments were accurate.,Feedback and Reflection. Please indicate your agreement with each statement. - Structured reflection is a regular part of how I improve my work.,Independent Reviews. Please indicate your agreement with each statement. - My work is reviewed by a senior or equally qualified auditor who was not involved in forming the original judgment.,Independent Reviews. Please indicate your agreement with each statement. - Reviewers in my firm independently re-examine key estimates.,Independent Reviews. Please indicate your agreement with each statement. - Reviewers challenge whether my judgments rely too heavily on prior-year audit conclusions.,Independent Reviews. Please indicate your agreement with each statement. - Reviews in my firm mostly confirm the preparer's conclusion without independent analysis.,Independent Reviews. Please indicate your agreement with each statement. - Engagement-quality reviews are substantive rather than a formality.,"Regulatory and Professional Guidance. Please indicate your agreement with each statement. - Regulatory and professional standards (e.g., PCAOB, AICPA, IIA, COSO) meaningfully shape how I exercise judgment.",Regulatory and Professional Guidance. Please indicate your agreement with each statement. - The possibility of inspection encourages me to double-check the support and analysis behind my judgments.,Regulatory and Professional Guidance. Please indicate your agreement with each statement. - Professional-skepticism requirements are actively reinforced in my firm.,Regulatory and Professional Guidance. Please indicate your agreement with each statement. - Regulatory guidance has little practical effect on my day-to-day judgments.,Regulatory and Professional Guidance. Please indicate your agreement with each statement. - Standards require me to document independent support for estimates.,"Performance Metrics and Incentives. Please indicate your agreement with each statement. - My performance evaluation rewards judgment quality, not only efficiency.",Performance Metrics and Incentives. Please indicate your agreement with each statement. - Incentives in my firm are aligned with audit quality.,Performance Metrics and Incentives. Please indicate your agreement with each statement. - I am recognized for exercising appropriate professional skepticism.,Performance Metrics and Incentives. Please indicate your agreement with each statement. - My firm's incentive and evaluation system discourages spending the extra time needed to challenge prior-year balances.,"Performance Metrics and Incentives. Please indicate your agreement with each statement. - The way my work is evaluated encourages thorough, independent analysis.","Please select ""Agree"" for this item to confirm your attention.",Auditor Judgment Quality. Please indicate your agreement with each statement. - My audit judgments are based on careful evaluation of independent evidence.,"Auditor Judgment Quality. Please indicate your agreement with each statement. - I reach conclusions objectively, free of undue influence from management's explanations.",Auditor Judgment Quality. Please indicate your agreement with each statement. - I deploy relevant knowledge and reasoning when forming difficult judgments.,Auditor Judgment Quality. Please indicate your agreement with each statement. - My conclusions often default to last year's position.,Auditor Judgment Quality. Please indicate your agreement with each statement. - I am confident my judgments would withstand independent scrutiny.,Audit Process Rigor. Please indicate your agreement with each statement. - The audit process I follow is thorough and consistently executed.,Audit Process Rigor. Please indicate your agreement with each statement. - Key judgments are independently corroborated within the engagement.,Audit Process Rigor. Please indicate your agreement with each statement. - The process enforces disciplined evaluation of evidence in a defined order.,Audit Process Rigor. Please indicate your agreement with each statement. - Execution on my engagements is often rushed or inconsistent.,Audit Process Rigor. Please indicate your agreement with each statement. - Critical audit procedures are consistently followed across all my engagements.,"Reduction in Anchoring Bias. Please indicate your agreement with each statement. - When auditing a recurring account, I adjust fully away from the prior-year balance when current evidence warrants.",Reduction in Anchoring Bias. Please indicate your agreement with each statement. - I form an independent expectation before I look at management's estimate.,Reduction in Anchoring Bias. Please indicate your agreement with each statement. - My final conclusions are driven by current evidence rather than by initial reference points.,Reduction in Anchoring Bias. Please indicate your agreement with each statement. - My estimates tend to stay close to the prior-year figure even when evidence suggests otherwise.,Reduction in Anchoring Bias. Please indicate your agreement with each statement. - I actively seek evidence that contradicts my initial expectation.,"In your own words, please briefly describe a time in your audit work when you noticed an initial figure (a prior-year balance, a management estimate, or a budget) influencing your judgment. 2–4 sentences is plenty.","Across my engagements, how often are prior-year workpapers and conclusions accessible to the audit team?",How many years of EXTERNAL audit experience do you have? (Select 0 if none.),How many years of INTERNAL audit experience do you have? (Select 0 if none.),What is your primary audit role?,What type of organization do you work for?,"If you work in (or most recently worked in) public accounting, what is the firm's size?",What is the primary industry focus of your audit work?,Do you currently work on multi-year (long-term) engagements?,What is your highest professional credential?,Which US region best describes where you primarily work?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}"
2026-06-30 00:14:25,2026-06-30 00:17:20,Survey Preview,100,175,True,2026-06-30 00:17:21,R_1rTxXhsXFNXLYcc,preview,EN,,,"Yes, I consent and wish to continue",Yes,Yes,Yes,Yes,"Yes, I confirm",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,On about half,2 to 5 years,6 to 10 years,Audit support / other audit-related role,Regulatory body,Small (local or regional),Healthcare,No,CIA,Southeast
2026-06-30 01:09:13,2026-06-30 01:16:28,IP Address,100,434,True,2026-06-30 01:16:28,R_5z8Kji9ZvoNQL4J,anonymous,EN,1,,"Yes, I consent and wish to continue",Yes,Yes,No,No,"Yes, I confirm",Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Test run,On most engagements,0 (none),0 (none),Internal audit,Public accounting firm,Mid-tier (national or large regional),Financial services / banking,Yes,CPA,Northeast
2026-06-30 01:44:00,2026-06-30 01:45:07,IP Address,100,66,True,2026-06-30 01:45:07,R_68GJ2gtKbp7eiGb,anonymous,EN,1,,"Yes, I consent and wish to continue",No,No,No,Yes,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30 00:52:06,2026-06-30 01:57:35,IP Address,100,3929,True,2026-06-30 01:57:36,R_7SdF53CX9nnr1s4,anonymous,EN,0.6000000238418579,,"Yes, I consent and wish to continue",Yes,Yes,Yes,Yes,"Yes, I confirm",,,,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30 03:42:40,2026-06-30 03:51:55,IP Address,100,554,True,2026-06-30 03:51:56,R_9TBOHoo2zHIYs77,anonymous,EN,1,,"Yes, I consent and wish to continue",Yes,Yes,Yes,Yes,"Yes, I confirm",,,,,,,,,,,,,,,,,,,,,Disagree,,,,,,,,,,,,,,,,,,,,,Agree,,,,,,,,,,,,,,,,"In your own words, please briefly describe a time in your audit work when you noticed an initial figure (a prior-year balance, a management estimate, or a budget) influencing your judgment. 2–4 sentences is plenty.",,0 (none),0 (none),Not currently in an audit role,,,,No,,
2026-06-30 03:53:07,2026-06-30 04:16:44,IP Address,100,1417,True,2026-06-30 04:16:45,R_2XpqjoL5dSyhAqL,anonymous,EN,0.699999988079071,,"Yes, I consent and wish to continue",No,Yes,Yes,Yes,"Yes, I confirm",Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,"I've not come across such a scenario before. ",On every engagement,0 (none),11 to 15 years,Internal audit,Private company,Not applicable,Financial services / banking,No,CISA,Remote / multi-region
2026-06-30 03:44:55,2026-06-30 07:01:21,IP Address,100,11785,True,2026-06-30 07:01:21,R_64cmU8i1FOebP4x,anonymous,EN,0.800000011920929,,"Yes, I consent and wish to continue",Yes,Yes,No,No,"Yes, I confirm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30 11:41:55,2026-06-30 11:43:14,IP Address,100,79,True,2026-06-30 11:43:15,R_562vtHZe5gA8l3Y,anonymous,EN,0.5,,"Yes, I consent and wish to continue",Yes,Yes,No,Yes,"Yes, I confirm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,,,,,Agree,,,,,,,,,,,
